OBJECTID,REPORTNO,STATUS,ADDRTYPE,LOCATION,COLLISIONTYPE,PERSONCOUNT,PEDCOUNT,PEDCYLCOUNT,VEHCOUNT,INJURIES,SERIOUSINJURIES,FATALITIES,INCDATE,INCDTTM,WEATHER,ROADCOND,LIGHTCOND,SPEEDING,HITPARKEDCAR,LOCATION_PROCESSED
1,REPORT1,STATUS3,ADDRTYPE3,"845 Wright Ports
East Nancy, IL 84585",Parked Car,5.0,0.0,1.0,2.0,0,1,0,2023-08-16,2023-12-17 03:25:08,Sleet/Hail/Freezing Rain,Sand/Mud/Dirt,Dark - No Street Lights,Y,Y,"845 Wright Ports East Nancy , IL 84585"
2,REPORT2,STATUS1,ADDRTYPE2,"5620 Michael Underpass
Smithport, GU 77264",Parked Car,5.0,1.0,0.0,3.0,3,1,0,2023-12-13,2023-04-01 03:25:08,Raining,Unknown,Dark - Street Lights Off,Y,Y,"5620 Michael Underpass Smithport , GU 77264"
3,REPORT3,STATUS1,ADDRTYPE3,"72248 Phillips Square Apt. 098
South Kimberlyland, HI 77148",Parked Car,2.0,1.0,0.0,3.0,1,0,0,2023-06-01,2023-07-04 03:25:08,Severe Crosswind,Oil,Dark - Street Lights Off,N,Y,"72248 Phillips Square Apt . 098 South Kimberlyland , HI 77148"
4,REPORT4,STATUS3,ADDRTYPE3,"33395 Acosta Way Apt. 484
New Mary, KY 76650",Parked Car,3.0,1.0,0.0,3.0,3,0,0,2023-08-23,2023-03-29 03:25:08,Fog/Smog/Smoke,Sand/Mud/Dirt,Dark - No Street Lights,N,N,"33395 Acosta Way Apt . 484 New Mary , KY 76650"
5,REPORT5,STATUS2,ADDRTYPE3,"74664 Mary Spurs Apt. 719
New Christinatown, OK 84786",Cycles,1.0,1.0,0.0,2.0,1,0,0,2024-01-24,2023-04-29 03:25:08,Clear,Unknown,Dusk,N,N,"74664 Mary Spurs Apt . 719 New Christinatown , OK 84786"
6,REPORT6,STATUS1,ADDRTYPE1,"6990 Rivas Oval Apt. 853
Lake Marissashire, IA 56066",Rear Ended,4.0,1.0,1.0,1.0,3,1,1,2023-07-18,2024-01-01 03:25:08,Severe Crosswind,Oil,Dusk,Y,N,"6990 Rivas Oval Apt . 853 Lake Marissashire , IA 56066"
7,REPORT7,STATUS1,ADDRTYPE3,"01130 Rich Cove Suite 613
West Loganstad, OR 18354",Pedestrian,1.0,2.0,0.0,1.0,0,0,0,2023-06-11,2024-02-01 03:25:08,Snowing,Standing Water,Other,Y,N,"01130 Rich Cove Suite 613 West Loganstad , OR 18354"
8,REPORT8,STATUS1,ADDRTYPE2,"00111 Juan Prairie
Ryanmouth, VA 42787",Left Turn,3.0,2.0,0.0,1.0,1,0,0,2023-08-09,2023-10-31 03:25:08,,,,N,Y,"00111 Juan Prairie Ryanmouth , VA 42787"
9,REPORT9,STATUS3,ADDRTYPE2,"6248 Oscar Mill
Hansenport, OR 56645",Other,4.0,0.0,0.0,1.0,3,1,0,2023-11-24,2023-11-15 03:25:08,Severe Crosswind,Dry,Dark - Street Lights On,N,Y,"6248 Oscar Mill Hansenport , OR 56645"
10,REPORT10,STATUS1,ADDRTYPE2,"43792 Jordan Walk Suite 151
South Gabriellestad, AZ 54062",Cycles,1.0,0.0,0.0,1.0,1,0,1,2023-08-12,2023-07-19 03:25:08,Sleet/Hail/Freezing Rain,Snow/Slush,Dark - Street Lights On,Y,Y,"43792 Jordan Walk Suite 151 South Gabriellestad , AZ 54062"
11,REPORT11,STATUS3,ADDRTYPE2,"839 Knight Corner
South Kathryn, CT 18318",Sideswipe,1.0,0.0,1.0,1.0,0,1,0,2023-12-24,2023-02-28 03:25:08,Clear,Wet,Dusk,Y,N,"839 Knight Corner South Kathryn , CT 18318"
12,REPORT12,STATUS3,ADDRTYPE3,"978 Samuel Plaza Apt. 707
Ramirezfort, NV 05532",Cycles,2.0,1.0,0.0,3.0,3,1,1,2023-08-30,2023-05-16 03:25:08,Other,Standing Water,Unknown,Y,N,"978 Samuel Plaza Apt . 707 Ramirezfort , NV 05532"
13,REPORT13,STATUS3,ADDRTYPE2,"17523 Harper Manor
Doyleton, VT 12645",Other,3.0,2.0,1.0,3.0,2,0,0,2023-03-09,2023-11-26 03:25:08,Overcast,Snow/Slush,Dark - No Street Lights,Y,Y,"17523 Harper Manor Doyleton , VT 12645"
14,REPORT14,STATUS1,ADDRTYPE2,"165 Nash Tunnel
Jerrystad, FM 80945",Other,3.0,1.0,0.0,2.0,0,0,1,2023-10-15,2023-04-18 03:25:08,Sleet/Hail/Freezing Rain,Snow/Slush,Other,Y,Y,"165 Nash Tunnel Jerrystad , FM 80945"
15,REPORT15,STATUS3,ADDRTYPE3,"27756 Robert Skyway Suite 552
Coryberg, AL 35717",Sideswipe,3.0,1.0,1.0,3.0,0,0,1,2023-05-19,2023-08-10 03:25:08,Sleet/Hail/Freezing Rain,Oil,Other,Y,Y,"27756 Robert Skyway Suite 552 Coryberg , AL 35717"
16,REPORT16,STATUS2,ADDRTYPE3,"687 Rosales Lakes Apt. 626
Collinsview, AK 67710",Cycles,4.0,1.0,0.0,3.0,0,0,0,2023-12-21,2023-11-01 03:25:08,Snowing,Other,Daylight,Y,N,"687 Rosales Lakes Apt . 626 Collinsview , AK 67710"
